#Frequency,Velocity,Velstd
2.160502319278673,324.075347891801,16.203767394590052
2.610349721548881,311.96259190578354,15.598129595289178
3.1162164395797367,296.71807554550537,14.83590377727527
3.673281742445095,278.66549360105415,13.933274680052714
4.267060974395197,257.9112986047243,12.895564930236223
4.855471813933343,233.82208125657996,11.691104062828998
5.451028186736671,209.14383982737363,10.457191991368683
6.114290148444398,186.90686736789365,9.345343368394682
6.944615535918371,169.1375312508785,8.456876562543926
7.9836034577985675,154.9185068260848,7.745925341304241
9.105927536155956,140.78004504470954,7.039002252235477
10.282372949301744,126.6551422414535,6.332757112072676
11.603251337248825,113.87325624845117,5.6936628124225575
13.350222415707714,104.38620436627612,5.219310218313806
15.799623102824407,98.42692046139912,4.921346023069956
19.179989754630533,95.19806175306255,4.759903087653128
23.693388551060142,93.6956604744165,4.684783023720825
29.551667940322993,93.1079712113928,4.6553985605696395
37.017500341154516,92.92327754843559,4.646163877421781
46.43995479951383,92.87990959902766,4.643995479951382
